# 2WD PID 循线 · S 弯赛道 · Kp=0.6 Ki=0 Kd=6 · 100 Hz
t,nL,nM,nR,error,u,pwmL,pwmR,state
3.390,0.0200,0.6080,0.2480,26.03,11.59,137,123,TURN_RIGHT
3.400,0.0160,0.5920,0.2520,27.44,24.95,150,99,TURN_RIGHT
3.410,0.0000,0.6000,0.2400,28.57,23.92,150,101,TURN_RIGHT
3.420,0.0000,0.6160,0.2040,24.88,-7.23,109,150,TURN_RIGHT
3.430,0.0000,0.6160,0.2320,27.36,31.30,150,88,TURN_RIGHT
3.440,0.0240,0.6360,0.2040,20.83,-26.65,80,150,TURN_RIGHT
3.450,0.0000,0.6360,0.2080,24.64,37.65,150,76,TURN_RIGHT
3.460,0.0000,0.6440,0.2320,26.48,26.93,150,96,TURN_RIGHT
3.470,0.0000,0.6280,0.2200,25.94,12.32,138,122,TURN_RIGHT
3.480,0.0000,0.6520,0.1880,22.38,-7.95,108,150,TURN_RIGHT
3.490,0.0200,0.6720,0.2040,20.54,1.25,122,142,TURN_RIGHT
3.500,0.0280,0.6480,0.1760,17.37,-8.57,107,150,TURN_RIGHT
3.510,0.0000,0.6400,0.2160,25.23,62.32,150,32,TURN_RIGHT
3.520,0.0000,0.6960,0.1720,19.82,-20.62,89,150,TURN_RIGHT
3.530,0.0160,0.6520,0.1800,19.34,8.75,133,128,TURN_RIGHT
3.540,0.0080,0.7040,0.1840,19.64,13.61,140,120,TURN_RIGHT
3.550,0.0000,0.6760,0.2200,24.55,44.20,150,64,TURN_RIGHT
3.560,0.0000,0.7200,0.1760,19.64,-17.68,93,150,TURN_RIGHT
3.570,0.0120,0.6880,0.1720,18.35,3.24,125,138,TURN_RIGHT
3.580,0.0000,0.7120,0.1560,17.97,8.53,133,129,TURN_RIGHT
3.590,0.0000,0.6840,0.1880,21.56,34.46,150,82,TURN_RIGHT
3.600,0.0200,0.7080,0.1640,16.14,-22.81,86,150,TURN_RIGHT
3.610,0.0000,0.7040,0.1640,18.89,27.84,150,94,TURN_RIGHT
3.620,0.0000,0.7200,0.1160,13.88,-21.79,87,150,TURN_RIGHT
3.630,0.0120,0.7120,0.1560,16.36,24.75,150,99,TURN_RIGHT
3.640,0.0040,0.7560,0.1480,15.86,6.49,130,132,TURN_RIGHT
3.650,0.0000,0.7120,0.1480,17.21,18.43,148,111,TURN_RIGHT
3.660,0.0000,0.7440,0.1440,16.22,3.77,126,137,TURN_RIGHT
3.670,0.0120,0.7120,0.1360,14.42,-2.13,117,148,TURN_RIGHT
3.680,0.0120,0.7560,0.1400,14.10,6.53,130,132,TURN_RIGHT
3.690,0.0000,0.7200,0.1360,15.89,20.28,150,107,TURN_RIGHT
3.700,0.0000,0.7280,0.1400,16.13,11.12,137,124,TURN_RIGHT
3.710,0.0080,0.7600,0.1560,16.02,8.94,133,128,TURN_RIGHT
3.720,0.0000,0.7720,0.1400,15.35,5.21,128,135,TURN_RIGHT
3.730,0.0160,0.7480,0.1360,13.33,-4.11,114,150,TURN_RIGHT
3.740,0.0080,0.7680,0.1200,12.50,2.50,124,140,TURN_RIGHT
3.750,0.0000,0.7520,0.1240,14.16,18.42,148,111,TURN_RIGHT
3.760,0.0000,0.8120,0.1240,13.25,2.50,124,139,TURN_RIGHT
3.770,0.0000,0.7600,0.1240,14.03,13.09,140,120,TURN_RIGHT
3.780,0.0120,0.7840,0.1320,12.93,1.18,122,142,TURN_RIGHT
3.790,0.0160,0.7520,0.1040,10.09,-10.98,104,150,TURN_RIGHT
3.800,0.0080,0.8040,0.1280,12.77,23.70,150,101,TURN_RIGHT
3.810,0.0120,0.7480,0.1120,11.47,-0.91,119,146,TURN_RIGHT
3.820,0.0000,0.8200,0.1240,13.14,17.89,147,112,TURN_RIGHT
3.830,0.0000,0.7840,0.1320,14.41,16.30,144,115,TURN_RIGHT
3.840,0.0120,0.8080,0.1200,11.49,-10.63,104,150,TURN_RIGHT
3.850,0.0000,0.8000,0.1080,11.89,9.57,134,127,TURN_RIGHT
3.860,0.0000,0.8320,0.1160,12.24,9.39,134,127,TURN_RIGHT
3.870,0.0000,0.7880,0.0960,10.86,-1.74,117,147,TURN_RIGHT
3.880,0.0000,0.8240,0.0880,9.65,-1.47,118,147,STRAIGHT
3.890,0.0120,0.8120,0.1080,10.30,10.09,135,126,TURN_RIGHT
3.900,0.0120,0.8520,0.1080,9.88,3.38,125,138,STRAIGHT
3.910,0.0240,0.8160,0.1280,10.74,11.65,137,123,TURN_RIGHT
3.920,0.0160,0.8360,0.1160,10.33,3.72,126,137,TURN_RIGHT
3.930,0.0160,0.8320,0.0880,7.69,-11.21,103,150,STRAIGHT
3.940,0.0000,0.8440,0.1160,12.08,33.60,150,84,TURN_RIGHT
3.950,0.0400,0.8680,0.1080,6.69,-28.33,78,150,STRAIGHT
3.960,0.0040,0.8080,0.1280,13.19,46.91,150,60,TURN_RIGHT
3.970,0.0000,0.8520,0.1080,11.25,-4.90,113,150,TURN_RIGHT
3.980,0.0000,0.8360,0.0920,9.91,-2.07,117,148,STRAIGHT
3.990,0.0120,0.8560,0.1080,9.84,5.44,128,134,STRAIGHT
4.000,0.0000,0.8400,0.0880,9.48,3.57,125,138,STRAIGHT
4.010,0.0080,0.8520,0.1120,10.70,13.72,141,119,TURN_RIGHT
4.020,0.0280,0.8480,0.0760,5.04,-30.92,74,150,STRAIGHT
4.030,0.0000,0.8560,0.0960,10.08,36.30,150,79,TURN_RIGHT
4.040,0.0000,0.8440,0.1000,10.59,9.41,134,127,TURN_RIGHT
4.050,0.0000,0.8720,0.0880,9.17,-3.06,115,150,STRAIGHT
4.060,0.0160,0.8680,0.0840,7.02,-8.64,107,150,STRAIGHT
4.070,0.0200,0.8840,0.1000,7.97,10.44,136,125,STRAIGHT
4.080,0.0040,0.8640,0.0680,6.84,-2.68,116,149,STRAIGHT
4.090,0.0160,0.8800,0.0840,6.94,4.77,127,135,STRAIGHT
4.100,0.0000,0.8600,0.0760,8.12,11.96,138,122,STRAIGHT
4.110,0.0000,0.8800,0.0920,9.47,13.75,141,119,STRAIGHT
4.120,0.0000,0.8920,0.0800,8.23,-2.47,116,148,STRAIGHT
4.130,0.0040,0.8720,0.0680,6.78,-4.64,113,150,STRAIGHT
4.140,0.0000,0.9160,0.0480,4.98,-7.81,108,150,STRAIGHT
4.150,0.0000,0.8720,0.0760,8.02,23.04,150,103,STRAIGHT
4.160,0.0200,0.9160,0.0920,7.00,-1.88,117,147,STRAIGHT
4.170,0.0160,0.8520,0.1000,8.68,15.25,143,117,STRAIGHT
4.180,0.0440,0.9080,0.0600,1.58,-41.63,58,150,STRAIGHT
4.190,0.0200,0.8760,0.0760,5.76,28.54,150,93,STRAIGHT
4.200,0.0160,0.8920,0.0640,4.94,-1.98,117,148,STRAIGHT
4.210,0.0120,0.8760,0.0720,6.25,11.62,137,123,STRAIGHT
4.220,0.0240,0.9160,0.0680,4.37,-8.69,107,150,STRAIGHT
4.230,0.0360,0.9000,0.0680,3.19,-5.15,112,150,STRAIGHT
4.240,0.0160,0.9120,0.0400,2.48,-2.76,116,149,STRAIGHT
4.250,0.0080,0.9200,0.0640,5.65,22.38,150,104,STRAIGHT
4.260,0.0000,0.8960,0.0720,7.44,15.22,143,117,STRAIGHT
4.270,0.0000,0.9160,0.0680,6.91,0.98,121,142,STRAIGHT
4.280,0.0160,0.8640,0.0560,4.27,-13.26,100,150,STRAIGHT
4.290,0.0240,0.9240,0.0680,4.33,2.94,124,139,STRAIGHT
4.300,0.0200,0.8720,0.0520,3.39,-3.61,115,150,STRAIGHT
4.310,0.0000,0.9320,0.0600,6.05,19.58,149,109,STRAIGHT
4.320,0.0160,0.8920,0.0800,6.48,6.46,130,132,STRAIGHT
4.330,0.0000,0.9320,0.0720,7.17,8.46,133,129,STRAIGHT
4.340,0.0120,0.8760,0.0800,7.02,3.34,125,138,STRAIGHT
4.350,0.0120,0.9280,0.0480,3.64,-18.10,93,150,STRAIGHT
4.360,0.0000,0.9040,0.0640,6.61,21.77,150,105,STRAIGHT
4.370,0.0160,0.9320,0.0640,4.74,-8.37,107,150,STRAIGHT
4.380,0.0120,0.9280,0.0840,7.03,17.95,147,112,STRAIGHT
4.390,0.0080,0.9160,0.0480,4.12,-15.03,97,150,STRAIGHT
4.400,0.0120,0.9320,0.0760,6.27,16.72,145,114,STRAIGHT
4.410,0.0200,0.9240,0.0520,3.21,-16.44,95,150,STRAIGHT
4.420,0.0040,0.9440,0.0640,5.93,19.85,150,108,STRAIGHT
4.430,0.0120,0.9200,0.0520,4.07,-8.74,107,150,STRAIGHT
4.440,0.0240,0.9560,0.0280,0.40,-21.77,87,150,STRAIGHT
4.450,0.0120,0.9160,0.0680,5.62,34.73,150,81,STRAIGHT
4.460,0.0000,0.9760,0.0600,5.79,4.49,127,136,STRAIGHT
4.470,0.0200,0.9360,0.0440,2.40,-18.91,92,150,STRAIGHT
4.480,0.0080,0.9600,0.0680,5.79,23.82,150,101,STRAIGHT
4.490,0.0400,0.9560,0.0320,-0.78,-39.89,60,150,STRAIGHT
4.500,0.0080,0.9520,0.0520,4.35,33.36,150,84,STRAIGHT
4.510,0.0160,0.9680,0.0400,2.34,-10.62,104,150,STRAIGHT
4.520,0.0080,0.9560,0.0560,4.71,17.00,145,113,STRAIGHT
4.530,0.0120,0.9640,0.0560,4.26,-0.10,120,144,STRAIGHT
4.540,0.0160,0.9480,0.0200,0.41,-22.90,86,150,STRAIGHT
4.550,0.0000,0.9800,0.0200,2.00,10.76,136,125,STRAIGHT
4.560,0.0320,0.9480,0.0400,0.78,-6.82,110,150,STRAIGHT
4.570,0.0160,0.9800,0.0520,3.44,17.97,147,112,STRAIGHT
4.580,0.0280,0.9720,0.0680,3.75,4.11,126,137,STRAIGHT
4.590,0.0360,1.0000,0.0240,-1.13,-29.94,75,150,STRAIGHT
4.600,0.0040,0.9720,0.0360,3.16,27.66,150,94,STRAIGHT
4.610,0.0040,0.9840,0.0280,2.36,-3.38,115,150,STRAIGHT
4.620,0.0240,1.0000,0.0440,1.87,-1.81,117,147,STRAIGHT
4.630,0.0000,0.9640,0.0360,3.60,12.52,139,121,STRAIGHT
4.640,0.0160,1.0000,0.0240,0.77,-16.52,95,150,STRAIGHT
4.650,0.0240,0.9880,0.0440,1.89,7.88,132,130,STRAIGHT
4.660,0.0120,0.9680,0.0280,1.59,-0.89,119,146,STRAIGHT
4.670,0.0360,0.9640,0.0240,-1.17,-17.26,94,150,STRAIGHT
4.680,0.0200,0.9760,0.0360,1.55,17.26,146,113,STRAIGHT
4.690,0.0200,0.9480,0.0400,1.98,3.79,126,137,STRAIGHT
4.700,0.0080,1.0000,0.0160,0.78,-6.75,110,150,STRAIGHT
4.710,0.0240,0.9600,0.0360,1.18,3.08,125,138,STRAIGHT
4.720,0.0360,1.0000,0.0200,-1.52,-17.06,94,150,STRAIGHT
4.730,0.0480,0.9800,0.0240,-2.28,-5.97,111,150,STRAIGHT
4.740,0.0480,0.9880,0.0160,-3.04,-6.39,110,150,STRAIGHT
4.750,0.0160,0.9800,0.0160,0.00,18.25,147,111,STRAIGHT
4.760,0.0240,0.9720,0.0280,0.39,2.58,124,139,STRAIGHT
4.770,0.0240,0.9760,0.0080,-1.59,-12.82,101,150,STRAIGHT
4.780,0.0400,0.9880,0.0280,-1.14,2.02,123,140,STRAIGHT
4.790,0.0360,0.9800,0.0200,-1.54,-3.37,115,150,STRAIGHT
4.800,0.0520,0.9960,0.0200,-3.00,-10.51,104,150,STRAIGHT
4.810,0.0400,0.9760,0.0160,-2.33,2.63,124,139,STRAIGHT
4.820,0.0360,0.9880,0.0200,-1.53,3.84,126,137,STRAIGHT
4.830,0.0320,0.9720,0.0000,-3.19,-11.84,102,150,STRAIGHT
4.840,0.0480,0.9760,0.0040,-4.28,-9.13,106,150,STRAIGHT
4.850,0.0480,0.9720,0.0000,-4.71,-5.38,112,150,STRAIGHT
4.860,0.0600,0.9520,0.0160,-4.28,-0.01,120,144,STRAIGHT
4.870,0.0360,0.9720,0.0040,-3.16,4.81,127,135,STRAIGHT
4.880,0.0400,0.9720,0.0000,-3.95,-7.11,109,150,STRAIGHT
4.890,0.0400,0.9760,0.0120,-2.72,5.74,129,134,STRAIGHT
4.900,0.0520,0.9400,0.0200,-3.16,-4.53,113,150,STRAIGHT
4.910,0.0400,0.9480,0.0240,-1.58,8.54,133,129,STRAIGHT
4.920,0.0280,0.9520,0.0040,-2.44,-6.61,110,150,STRAIGHT
4.930,0.0360,0.9320,0.0240,-1.21,6.65,130,132,STRAIGHT
4.940,0.0720,0.9640,0.0280,-4.14,-20.04,90,150,STRAIGHT
4.950,0.0640,0.9400,0.0280,-3.49,1.79,123,141,STRAIGHT
4.960,0.0640,0.9640,0.0240,-3.80,-4.16,114,150,STRAIGHT
4.970,0.0560,0.9600,0.0200,-3.47,-0.12,120,144,STRAIGHT
4.980,0.0600,0.9360,0.0000,-6.02,-18.91,92,150,STRAIGHT
4.990,0.0640,0.9200,0.0200,-4.38,7.22,131,131,STRAIGHT
5.000,0.0600,0.9440,0.0120,-4.72,-4.89,113,150,STRAIGHT
5.010,0.0320,0.9000,0.0000,-3.43,5.69,129,134,STRAIGHT
5.020,0.0440,0.9520,0.0120,-3.17,-0.35,119,145,STRAIGHT
5.030,0.0720,0.9240,0.0160,-5.53,-17.47,94,150,STRAIGHT
5.040,0.0400,0.9360,0.0040,-3.67,8.96,133,128,STRAIGHT
5.050,0.0680,0.9240,0.0000,-6.85,-23.20,85,150,STRAIGHT
5.060,0.0680,0.9440,0.0080,-5.88,2.31,123,140,STRAIGHT
5.070,0.0680,0.9040,0.0040,-6.56,-7.98,108,150,STRAIGHT
5.080,0.0640,0.9240,0.0080,-5.62,2.24,123,140,STRAIGHT
5.090,0.0600,0.9160,0.0160,-4.44,4.46,127,136,STRAIGHT
5.100,0.0760,0.8960,0.0160,-6.07,-13.47,100,150,STRAIGHT
5.110,0.0760,0.9120,0.0120,-6.40,-5.80,111,150,STRAIGHT
5.120,0.0720,0.9000,0.0000,-7.41,-10.49,104,150,STRAIGHT
5.130,0.0680,0.9120,0.0000,-6.94,-1.35,118,146,STRAIGHT
5.140,0.0760,0.8880,0.0160,-6.12,1.22,122,142,STRAIGHT
5.150,0.0920,0.8960,0.0000,-9.31,-24.72,83,150,STRAIGHT
5.160,0.0880,0.8600,0.0040,-8.82,-2.36,116,148,STRAIGHT
5.170,0.1000,0.8960,0.0080,-9.16,-7.54,109,150,STRAIGHT
5.180,0.0920,0.8840,0.0040,-8.98,-4.29,114,150,STRAIGHT
5.190,0.1160,0.8720,0.0040,-11.29,-20.64,89,150,TURN_LEFT
5.200,0.1080,0.8720,0.0080,-10.12,0.94,121,142,TURN_LEFT
5.210,0.1160,0.8440,0.0000,-12.08,-19.02,91,150,TURN_LEFT
5.220,0.1120,0.8880,0.0040,-10.76,1.50,122,141,TURN_LEFT
5.230,0.1040,0.8640,0.0000,-10.74,-6.37,110,150,TURN_LEFT
5.240,0.1120,0.8600,0.0080,-10.61,-5.58,112,150,TURN_LEFT
5.250,0.1000,0.8400,0.0000,-10.64,-6.54,110,150,TURN_LEFT
5.260,0.1040,0.8440,0.0080,-10.04,-2.45,116,148,TURN_LEFT
5.270,0.1160,0.8280,0.0120,-10.88,-11.55,103,150,TURN_LEFT
5.280,0.1080,0.8280,0.0000,-11.54,-10.88,104,150,TURN_LEFT
5.290,0.0960,0.8240,0.0000,-10.43,0.36,121,143,TURN_LEFT
5.300,0.1240,0.8120,0.0120,-11.81,-15.37,97,150,TURN_LEFT
5.310,0.1120,0.8160,0.0080,-11.11,-2.45,116,148,TURN_LEFT
5.320,0.1440,0.8160,0.0000,-15.00,-32.33,71,150,TURN_LEFT
5.330,0.1400,0.7880,0.0120,-13.62,0.13,120,144,TURN_LEFT
5.340,0.1200,0.8160,0.0040,-12.34,0.26,120,144,TURN_LEFT
5.350,0.1520,0.7800,0.0040,-15.81,-30.32,75,150,TURN_LEFT
5.360,0.1760,0.8000,0.0040,-17.55,-20.96,89,150,TURN_LEFT
5.370,0.1560,0.7800,0.0040,-16.17,-1.42,118,147,TURN_LEFT
5.380,0.1520,0.7640,0.0000,-16.59,-12.50,101,150,TURN_LEFT
5.390,0.1480,0.7600,0.0200,-13.79,8.53,133,129,TURN_LEFT
5.400,0.1520,0.7440,0.0000,-16.96,-29.21,76,150,TURN_LEFT
5.410,0.1600,0.7520,0.0240,-14.53,5.89,129,133,TURN_LEFT
5.420,0.1720,0.7320,0.0000,-19.03,-38.40,62,150,TURN_LEFT
5.430,0.1960,0.7080,0.0000,-21.68,-28.94,77,150,TURN_LEFT
5.440,0.1960,0.6960,0.0000,-21.97,-14.93,98,150,TURN_LEFT
5.450,0.1880,0.6840,0.0000,-21.56,-10.46,104,150,TURN_LEFT
5.460,0.2400,0.6920,0.0080,-24.68,-33.54,70,150,TURN_LEFT
5.470,0.1960,0.6760,0.0200,-19.73,17.86,147,112,TURN_LEFT
5.480,0.2000,0.6680,0.0000,-23.04,-33.69,69,150,TURN_LEFT
5.490,0.2120,0.6720,0.0000,-23.98,-20.03,90,150,TURN_LEFT
5.500,0.2360,0.6360,0.0000,-27.06,-34.73,68,150,TURN_LEFT
5.510,0.2200,0.6560,0.0200,-22.32,15.06,143,117,TURN_LEFT
5.520,0.2320,0.6200,0.0000,-27.23,-45.79,51,150,TURN_LEFT
5.530,0.2440,0.6160,0.0040,-27.78,-19.95,90,150,TURN_LEFT
5.540,0.2480,0.6200,0.0000,-28.57,-21.90,87,150,TURN_LEFT
5.550,0.2560,0.6280,0.0120,-27.23,-8.30,108,150,TURN_LEFT
5.560,0.2880,0.6200,0.0200,-28.88,-27.21,79,150,TURN_LEFT
5.570,0.2720,0.5920,0.0080,-30.28,-26.54,80,150,TURN_LEFT
5.580,0.2800,0.6000,0.0000,-31.82,-28.35,77,150,TURN_LEFT
5.590,0.2760,0.5720,0.0160,-30.09,-7.70,108,150,TURN_LEFT
5.600,0.2840,0.5520,0.0000,-33.97,-43.65,55,150,TURN_LEFT
5.610,0.3120,0.5520,0.0000,-36.11,-34.51,68,150,TURN_LEFT
5.620,0.2960,0.5800,0.0000,-33.79,-6.35,110,150,TURN_LEFT
5.630,0.3040,0.5640,0.0120,-33.18,-16.26,96,150,TURN_LEFT
5.640,0.3000,0.5520,0.0000,-35.21,-33.30,70,150,TURN_LEFT
5.650,0.3080,0.5440,0.0040,-35.51,-23.12,85,150,TURN_LEFT
5.660,0.2920,0.5280,0.0080,-34.30,-13.29,100,150,TURN_LEFT
5.670,0.3200,0.5440,0.0000,-37.04,-38.65,62,150,TURN_LEFT
5.680,0.3200,0.5480,0.0000,-36.87,-21.10,88,150,TURN_LEFT
5.690,0.3120,0.5360,0.0000,-36.79,-21.63,88,150,TURN_LEFT
5.700,0.3160,0.5360,0.0080,-35.81,-15.62,97,150,TURN_LEFT
5.710,0.3160,0.5240,0.0040,-36.97,-29.10,76,150,TURN_LEFT
5.720,0.3320,0.5120,0.0000,-39.34,-37.82,63,150,TURN_LEFT
5.730,0.3200,0.5240,0.0080,-36.62,-5.67,111,150,TURN_LEFT
5.740,0.2960,0.5280,0.0000,-35.92,-17.37,94,150,TURN_LEFT
5.750,0.3200,0.5200,0.0000,-38.10,-35.89,66,150,TURN_LEFT
5.760,0.3120,0.5400,0.0080,-35.35,-4.73,113,150,TURN_LEFT
5.770,0.3040,0.5320,0.0120,-34.43,-15.17,97,150,TURN_LEFT
5.780,0.3320,0.5160,0.0000,-39.15,-51.79,42,150,TURN_LEFT
5.790,0.3040,0.5600,0.0000,-35.19,2.68,124,139,TURN_LEFT
5.800,0.2960,0.5160,0.0120,-34.47,-16.36,95,150,TURN_LEFT
5.810,0.3200,0.5320,0.0000,-37.56,-41.09,58,150,TURN_LEFT
5.820,0.3320,0.5200,0.0080,-37.67,-23.30,85,150,TURN_LEFT
5.830,0.3120,0.5440,0.0000,-36.45,-14.51,98,150,TURN_LEFT
5.840,0.3120,0.5280,0.0080,-35.85,-17.91,93,150,TURN_LEFT
5.850,0.3240,0.5240,0.0000,-38.21,-37.08,64,150,TURN_LEFT
5.860,0.3240,0.5160,0.0160,-35.98,-8.23,108,150,TURN_LEFT
5.870,0.3120,0.5240,0.0200,-34.11,-9.25,106,150,TURN_LEFT
5.880,0.3280,0.5440,0.0000,-37.61,-43.58,55,150,TURN_LEFT
5.890,0.3160,0.5560,0.0000,-36.24,-13.49,100,150,TURN_LEFT
5.900,0.3200,0.5680,0.0080,-34.82,-12.39,101,150,TURN_LEFT
5.910,0.3000,0.5440,0.0000,-35.55,-25.67,81,150,TURN_LEFT
5.920,0.3120,0.5640,0.0120,-33.78,-9.70,105,150,TURN_LEFT
5.930,0.3240,0.5440,0.0000,-37.33,-43.66,55,150,TURN_LEFT
5.940,0.3080,0.5520,0.0000,-35.81,-12.41,101,150,TURN_LEFT
5.950,0.2880,0.5640,0.0000,-33.80,-8.21,108,150,TURN_LEFT
5.960,0.2800,0.5400,0.0000,-34.15,-22.55,86,150,TURN_LEFT
5.970,0.2920,0.5720,0.0000,-33.80,-18.18,93,150,TURN_LEFT
5.980,0.3000,0.5560,0.0120,-33.18,-16.21,96,150,TURN_LEFT
5.990,0.2920,0.5720,0.0160,-31.36,-7.92,108,150,TURN_LEFT
6.000,0.2800,0.5800,0.0000,-32.56,-26.70,80,150,TURN_LEFT
6.010,0.2840,0.5600,0.0000,-33.65,-26.74,80,150,TURN_LEFT
6.020,0.2560,0.5800,0.0120,-28.77,11.99,138,122,TURN_LEFT
6.030,0.3000,0.5720,0.0000,-34.40,-54.42,38,150,TURN_LEFT
6.040,0.2520,0.5840,0.0000,-30.14,7.47,131,131,TURN_LEFT
6.050,0.2320,0.5880,0.0200,-25.24,14.29,141,118,TURN_LEFT
6.060,0.2320,0.5600,0.0040,-28.64,-37.62,64,150,TURN_LEFT
6.070,0.2640,0.5800,0.0200,-28.24,-14.53,98,150,TURN_LEFT
6.080,0.2680,0.5760,0.0000,-31.75,-40.13,60,150,TURN_LEFT
6.090,0.2720,0.5800,0.0000,-31.92,-20.18,90,150,TURN_LEFT
6.100,0.2560,0.5920,0.0000,-30.19,-7.70,108,150,TURN_LEFT
6.110,0.2680,0.5680,0.0040,-31.43,-26.30,81,150,TURN_LEFT
6.120,0.2720,0.5960,0.0120,-29.55,-6.43,110,150,TURN_LEFT
6.130,0.2400,0.5840,0.0000,-29.13,-14.96,98,150,TURN_LEFT
6.140,0.2560,0.6040,0.0160,-27.40,-6.06,111,150,TURN_LEFT
6.150,0.2520,0.5840,0.0200,-27.10,-14.49,98,150,TURN_LEFT
6.160,0.2600,0.6000,0.0000,-30.23,-36.92,65,150,TURN_LEFT
6.170,0.2200,0.6240,0.0000,-26.07,9.36,134,127,TURN_LEFT
6.180,0.2280,0.6320,0.0040,-25.93,-14.71,98,150,TURN_LEFT
6.190,0.2240,0.6280,0.0040,-25.70,-14.07,99,150,TURN_LEFT
6.200,0.2120,0.6360,0.0000,-25.00,-10.79,104,150,TURN_LEFT
6.210,0.2040,0.6200,0.0000,-24.76,-13.40,100,150,TURN_LEFT
6.220,0.2360,0.6520,0.0000,-26.58,-26.86,80,150,TURN_LEFT
6.230,0.2080,0.6200,0.0040,-24.52,-2.37,116,148,TURN_LEFT
6.240,0.2120,0.6720,0.0040,-23.42,-7.48,109,150,TURN_LEFT
6.250,0.1920,0.6280,0.0120,-21.63,-2.25,117,148,TURN_LEFT
6.260,0.2200,0.6680,0.0000,-24.77,-33.71,69,150,TURN_LEFT
6.270,0.1880,0.6320,0.0080,-21.74,5.17,128,135,TURN_LEFT
6.280,0.2040,0.6720,0.0080,-22.17,-15.90,96,150,TURN_LEFT
6.290,0.1960,0.6800,0.0120,-20.72,-3.73,114,150,TURN_LEFT
6.300,0.2000,0.6840,0.0000,-22.62,-25.00,83,150,TURN_LEFT
6.310,0.1960,0.6800,0.0160,-20.18,2.56,124,139,TURN_LEFT
6.320,0.1600,0.6960,0.0000,-18.69,-2.29,117,148,TURN_LEFT
6.330,0.1600,0.7120,0.0000,-18.35,-8.95,107,150,TURN_LEFT
6.340,0.1640,0.7120,0.0040,-18.18,-9.91,105,150,TURN_LEFT
6.350,0.1640,0.7160,0.0000,-18.64,-13.91,99,150,TURN_LEFT
6.360,0.1720,0.7240,0.0000,-19.20,-14.88,98,150,TURN_LEFT
6.370,0.1320,0.7680,0.0080,-13.66,25.05,150,99,TURN_LEFT
6.380,0.1560,0.7360,0.0120,-15.93,-23.19,85,150,TURN_LEFT
6.390,0.1400,0.7600,0.0120,-14.04,2.94,124,139,TURN_LEFT
6.400,0.1400,0.7760,0.0000,-15.28,-16.66,95,150,TURN_LEFT
6.410,0.1320,0.7560,0.0040,-14.35,-3.01,115,149,TURN_LEFT
6.420,0.1440,0.7720,0.0000,-15.72,-17.66,94,150,TURN_LEFT
6.430,0.1480,0.7760,0.0000,-16.02,-11.39,103,150,TURN_LEFT
6.440,0.1440,0.7760,0.0000,-15.65,-7.20,109,150,TURN_LEFT
6.450,0.1240,0.8000,0.0040,-12.93,8.57,133,129,TURN_LEFT
6.460,0.1240,0.7720,0.0040,-13.33,-10.41,104,150,TURN_LEFT
6.470,0.1040,0.8200,0.0120,-9.83,15.13,143,117,STRAIGHT
6.480,0.1200,0.8040,0.0000,-12.99,-26.74,80,150,TURN_LEFT
6.490,0.1200,0.8040,0.0200,-10.59,8.01,132,130,TURN_LEFT
6.500,0.1200,0.8040,0.0080,-12.02,-15.75,96,150,TURN_LEFT
6.510,0.0960,0.8080,0.0200,-8.23,17.82,147,112,STRAIGHT
6.520,0.1160,0.8440,0.0000,-12.08,-30.40,74,150,TURN_LEFT
6.530,0.1200,0.8160,0.0040,-12.34,-8.95,107,150,TURN_LEFT
6.540,0.1000,0.8360,0.0160,-8.82,15.81,144,116,STRAIGHT
6.550,0.1000,0.8280,0.0120,-9.36,-8.85,107,150,STRAIGHT
6.560,0.0920,0.8480,0.0240,-7.05,9.61,134,127,STRAIGHT
6.570,0.1120,0.8400,0.0080,-10.83,-29.18,76,150,TURN_LEFT
6.580,0.0880,0.8640,0.0000,-9.24,3.99,126,137,STRAIGHT
6.590,0.0960,0.8360,0.0120,-8.90,-3.27,115,150,STRAIGHT
6.600,0.0840,0.8600,0.0000,-8.90,-5.34,112,150,STRAIGHT
6.610,0.1160,0.8360,0.0000,-12.18,-27.03,79,150,TURN_LEFT
6.620,0.0960,0.8720,0.0080,-9.02,13.60,140,120,STRAIGHT
6.630,0.0840,0.8560,0.0160,-7.11,7.15,131,131,STRAIGHT
6.640,0.1040,0.9000,0.0000,-10.36,-25.69,81,150,TURN_LEFT
6.650,0.0760,0.8720,0.0040,-7.56,12.24,138,122,STRAIGHT
6.660,0.0800,0.9000,0.0000,-8.16,-8.50,107,150,STRAIGHT
6.670,0.0720,0.8640,0.0000,-7.69,-1.79,117,147,STRAIGHT
6.680,0.0960,0.8720,0.0160,-8.13,-7.50,109,150,STRAIGHT
6.690,0.0640,0.8920,0.0040,-6.25,7.53,131,130,STRAIGHT
6.700,0.0720,0.9040,0.0000,-7.38,-11.19,103,150,STRAIGHT
6.710,0.0640,0.9160,0.0040,-6.10,4.02,126,137,STRAIGHT
6.720,0.0680,0.9160,0.0040,-6.48,-6.17,111,150,STRAIGHT
6.730,0.0560,0.9080,0.0000,-5.81,0.53,121,143,STRAIGHT
6.740,0.0720,0.9120,0.0360,-3.53,11.56,137,123,STRAIGHT
6.750,0.0760,0.9240,0.0280,-4.67,-9.64,106,150,STRAIGHT
6.760,0.0560,0.9360,0.0080,-4.80,-3.66,115,150,STRAIGHT
6.770,0.0840,0.9280,0.0040,-7.87,-23.17,85,150,STRAIGHT
