# RoboMaster EP 蓝线巡航 · KP_LINE=280 KI_LINE=0 KD_LINE=30 · LOOP_HZ=30
t,linePos,error,u,v,state,markerId
14.467,0.4599,-0.0401,-7.26,0.234,FOLLOW,
14.500,0.4569,-0.0431,-14.78,0.233,FOLLOW,
14.533,0.4595,-0.0405,-9.05,0.234,FOLLOW,
14.567,0.4626,-0.0374,-7.65,0.235,FOLLOW,
14.600,0.4653,-0.0347,-7.26,0.236,FOLLOW,
14.633,0.4616,-0.0384,-14.10,0.235,FOLLOW,
14.667,0.4602,-0.0398,-12.45,0.234,FOLLOW,
14.700,0.4591,-0.0409,-12.43,0.234,FOLLOW,
14.733,0.4566,-0.0434,-14.40,0.233,FOLLOW,
14.767,0.4611,-0.0389,-6.89,0.234,FOLLOW,
14.800,0.4518,-0.0482,-21.82,0.231,FOLLOW,
14.833,0.4576,-0.0424,-6.67,0.233,FOLLOW,
14.867,0.4533,-0.0467,-16.88,0.231,FOLLOW,
14.900,0.4599,-0.0401,-5.36,0.234,FOLLOW,
14.933,0.4543,-0.0457,-17.77,0.232,FOLLOW,
14.967,0.4631,-0.0369,-2.38,0.235,FOLLOW,
15.000,0.4521,-0.0479,-23.41,0.231,FOLLOW,
15.033,0.4608,-0.0392,-3.11,0.234,FOLLOW,
15.067,0.4638,-0.0362,-7.39,0.236,FOLLOW,
15.100,0.4550,-0.0450,-20.53,0.232,FOLLOW,
15.133,0.4542,-0.0458,-13.52,0.232,FOLLOW,
15.167,0.4540,-0.0460,-13.15,0.232,FOLLOW,
15.200,0.4592,-0.0408,-6.68,0.234,FOLLOW,
15.233,0.4636,-0.0364,-6.30,0.235,FOLLOW,
15.267,0.4675,-0.0325,-5.53,0.237,FOLLOW,
15.300,0.4712,-0.0288,-4.70,0.238,FOLLOW,
15.333,0.4590,-0.0410,-22.44,0.234,FOLLOW,
15.367,0.4651,-0.0349,-4.30,0.236,FOLLOW,
15.400,0.4664,-0.0336,-8.28,0.237,FOLLOW,
15.433,0.4689,-0.0311,-6.42,0.238,FOLLOW,
15.467,0.4635,-0.0365,-15.11,0.235,FOLLOW,
15.500,0.4724,-0.0276,0.30,0.239,FOLLOW,
15.533,0.4686,-0.0314,-12.20,0.237,FOLLOW,
15.567,0.4699,-0.0301,-7.29,0.238,FOLLOW,
15.600,0.4690,-0.0310,-9.44,0.238,FOLLOW,
15.633,0.4740,-0.0260,-2.77,0.240,FOLLOW,
15.667,0.4583,-0.0417,-25.79,0.233,FOLLOW,
15.700,0.4715,-0.0285,3.83,0.239,FOLLOW,
15.733,0.4652,-0.0348,-15.41,0.236,FOLLOW,
15.767,0.4685,-0.0315,-5.80,0.237,FOLLOW,
15.800,0.4652,-0.0348,-12.74,0.236,FOLLOW,
15.833,0.4676,-0.0324,-6.87,0.237,FOLLOW,
15.867,0.4727,-0.0273,-3.09,0.239,FOLLOW,
15.900,0.4666,-0.0334,-14.88,0.237,FOLLOW,
15.933,0.4662,-0.0338,-9.75,0.236,FOLLOW,
15.967,0.4759,-0.0241,2.00,0.240,FOLLOW,
16.000,0.4705,-0.0295,-13.14,0.238,FOLLOW,
16.033,0.4703,-0.0297,-8.48,0.238,FOLLOW,
16.067,0.4719,-0.0281,-6.42,0.239,FOLLOW,
16.100,0.4772,-0.0228,-1.68,0.241,FOLLOW,
16.133,0.4659,-0.0341,-19.66,0.236,FOLLOW,
16.167,0.4656,-0.0344,-9.89,0.236,FOLLOW,
16.200,0.4669,-0.0331,-8.16,0.237,FOLLOW,
16.233,0.4646,-0.0354,-11.94,0.236,FOLLOW,
16.267,0.4627,-0.0373,-12.19,0.235,FOLLOW,
16.300,0.4668,-0.0332,-5.59,0.237,FOLLOW,
16.333,0.4704,-0.0296,-5.04,0.238,FOLLOW,
16.367,0.4727,-0.0273,-5.59,0.239,FOLLOW,
16.400,0.4692,-0.0308,-11.77,0.238,FOLLOW,
16.433,0.4816,-0.0184,5.99,0.243,FOLLOW,
16.467,0.4707,-0.0293,-17.96,0.238,FOLLOW,
16.500,0.4757,-0.0243,-2.29,0.240,FOLLOW,
16.533,0.4736,-0.0264,-9.32,0.239,FOLLOW,
16.567,0.4702,-0.0298,-11.38,0.238,FOLLOW,
16.600,0.4692,-0.0308,-9.56,0.238,FOLLOW,
16.633,0.4675,-0.0325,-10.67,0.237,FOLLOW,
16.667,0.4676,-0.0324,-8.96,0.237,FOLLOW,
16.700,0.4776,-0.0224,2.71,0.241,FOLLOW,
16.733,0.4670,-0.0330,-18.75,0.237,FOLLOW,
16.767,0.4730,-0.0270,-2.16,0.239,FOLLOW,
16.800,0.4704,-0.0296,-10.63,0.238,FOLLOW,
16.833,0.4748,-0.0252,-3.05,0.240,FOLLOW,
16.867,0.4801,-0.0199,-0.79,0.242,FOLLOW,
16.900,0.4694,-0.0306,-18.29,0.238,FOLLOW,
16.933,0.4735,-0.0265,-3.73,0.239,FOLLOW,
16.967,0.4767,-0.0233,-3.59,0.241,FOLLOW,
17.000,0.4748,-0.0252,-8.84,0.240,FOLLOW,
17.033,0.4707,-0.0293,-11.80,0.238,FOLLOW,
17.067,0.4714,-0.0286,-7.43,0.239,FOLLOW,
17.100,0.4693,-0.0307,-10.51,0.238,FOLLOW,
17.133,0.4722,-0.0278,-5.11,0.239,FOLLOW,
17.167,0.4724,-0.0276,-7.54,0.239,FOLLOW,
17.200,0.4709,-0.0291,-9.53,0.238,FOLLOW,
17.233,0.4700,-0.0300,-9.27,0.238,FOLLOW,
17.267,0.4674,-0.0326,-11.42,0.237,FOLLOW,
17.300,0.4685,-0.0315,-7.86,0.237,FOLLOW,
17.333,0.4787,-0.0213,3.26,0.241,FOLLOW,
17.367,0.4721,-0.0279,-13.80,0.239,FOLLOW,
17.400,0.4732,-0.0268,-6.52,0.239,FOLLOW,
17.433,0.4668,-0.0332,-15.01,0.237,FOLLOW,
17.467,0.4718,-0.0282,-3.45,0.239,FOLLOW,
17.500,0.4760,-0.0240,-2.95,0.240,FOLLOW,
17.533,0.4754,-0.0246,-7.42,0.240,FOLLOW,
17.567,0.4659,-0.0341,-18.04,0.236,FOLLOW,
17.600,0.4695,-0.0305,-5.36,0.238,FOLLOW,
17.633,0.4739,-0.0261,-3.33,0.240,FOLLOW,
17.667,0.4719,-0.0281,-9.69,0.239,FOLLOW,
17.700,0.4714,-0.0286,-8.46,0.239,FOLLOW,
17.733,0.4653,-0.0347,-15.13,0.236,FOLLOW,
17.767,0.4727,-0.0273,-1.08,0.239,FOLLOW,
17.800,0.4683,-0.0317,-12.83,0.237,FOLLOW,
17.833,0.4584,-0.0416,-20.50,0.233,FOLLOW,
17.867,0.4624,-0.0376,-7.00,0.235,FOLLOW,
17.900,0.4678,-0.0322,-4.11,0.237,FOLLOW,
17.933,0.4713,-0.0287,-4.87,0.239,FOLLOW,
17.967,0.4784,-0.0216,0.35,0.241,FOLLOW,
18.000,0.4724,-0.0276,-13.10,0.239,FOLLOW,
18.033,0.4661,-0.0339,-15.22,0.236,FOLLOW,
18.067,0.4675,-0.0325,-7.81,0.237,FOLLOW,
18.100,0.4758,-0.0242,0.70,0.240,FOLLOW,
18.133,0.4734,-0.0266,-9.57,0.239,FOLLOW,
18.167,0.4724,-0.0276,-8.62,0.239,FOLLOW,
18.200,0.4739,-0.0261,-5.99,0.240,FOLLOW,
18.233,0.4693,-0.0307,-12.73,0.238,FOLLOW,
18.267,0.4779,-0.0221,1.58,0.241,FOLLOW,
18.300,0.4730,-0.0270,-11.95,0.239,FOLLOW,
18.333,0.4754,-0.0246,-4.71,0.240,FOLLOW,
18.367,0.4648,-0.0352,-19.39,0.236,FOLLOW,
18.400,0.4684,-0.0316,-5.66,0.237,FOLLOW,
18.433,0.4639,-0.0361,-14.16,0.236,FOLLOW,
18.467,0.4598,-0.0402,-14.89,0.234,FOLLOW,
18.500,0.4665,-0.0335,-3.35,0.237,FOLLOW,
18.533,0.4682,-0.0318,-7.43,0.237,FOLLOW,
18.567,0.4784,-0.0216,3.21,0.241,FOLLOW,
18.600,0.4688,-0.0312,-17.43,0.238,FOLLOW,
18.633,0.4686,-0.0314,-8.92,0.237,FOLLOW,
18.667,0.4716,-0.0284,-5.28,0.239,FOLLOW,
18.700,0.4754,-0.0246,-3.51,0.240,FOLLOW,
18.733,0.4625,-0.0375,-22.06,0.235,FOLLOW,
18.767,0.4652,-0.0348,-7.31,0.236,FOLLOW,
18.800,0.4647,-0.0353,-10.40,0.236,FOLLOW,
18.833,0.4667,-0.0333,-7.46,0.237,FOLLOW,
18.867,0.4623,-0.0377,-14.56,0.235,FOLLOW,
18.900,0.4667,-0.0333,-5.33,0.237,FOLLOW,
18.933,0.4657,-0.0343,-10.46,0.236,FOLLOW,
18.967,0.4698,-0.0302,-4.76,0.238,FOLLOW,
19.000,0.4587,-0.0413,-21.58,0.233,FOLLOW,
19.033,0.4641,-0.0359,-5.16,0.236,FOLLOW,
19.067,0.4658,-0.0342,-8.09,0.236,FOLLOW,
19.100,0.4723,-0.0277,-1.85,0.239,FOLLOW,
19.133,0.4683,-0.0317,-12.47,0.237,FOLLOW,
19.167,0.4723,-0.0277,-4.13,0.239,FOLLOW,
19.200,0.4681,-0.0319,-12.71,0.237,FOLLOW,
19.233,0.4636,-0.0364,-14.32,0.235,FOLLOW,
19.267,0.4643,-0.0357,-9.36,0.236,FOLLOW,
19.300,0.4581,-0.0419,-17.32,0.233,FOLLOW,
19.333,0.4597,-0.0403,-9.86,0.234,FOLLOW,
19.367,0.4561,-0.0439,-15.53,0.232,FOLLOW,
19.400,0.4677,-0.0323,1.38,0.237,FOLLOW,
19.433,0.4615,-0.0385,-16.38,0.235,FOLLOW,
19.467,0.4672,-0.0328,-4.07,0.237,FOLLOW,
19.500,0.4661,-0.0339,-10.48,0.236,FOLLOW,
19.533,0.4634,-0.0366,-12.63,0.235,FOLLOW,
19.567,0.4562,-0.0438,-18.70,0.232,FOLLOW,
19.600,0.4583,-0.0417,-9.81,0.233,FOLLOW,
19.633,0.4642,-0.0358,-4.68,0.236,FOLLOW,
19.667,0.4608,-0.0392,-14.12,0.234,FOLLOW,
19.700,0.4669,-0.0331,-3.75,0.237,FOLLOW,
19.733,0.4640,-0.0360,-12.73,0.236,FOLLOW,
19.767,0.4577,-0.0423,-17.50,0.233,FOLLOW,
19.800,0.4631,-0.0369,-5.50,0.235,FOLLOW,
19.833,0.4594,-0.0406,-14.63,0.234,FOLLOW,
19.867,0.4643,-0.0357,-5.59,0.236,FOLLOW,
19.900,0.4584,-0.0416,-16.94,0.233,FOLLOW,
19.933,0.4668,-0.0332,-1.75,0.237,FOLLOW,
19.967,0.4546,-0.0454,-23.74,0.232,FOLLOW,
20.000,0.4615,-0.0385,-4.57,0.235,FOLLOW,
20.033,0.4595,-0.0405,-13.11,0.234,FOLLOW,
20.067,0.4580,-0.0420,-13.13,0.233,FOLLOW,
20.100,0.4579,-0.0421,-11.83,0.233,FOLLOW,
20.133,0.4593,-0.0407,-10.15,0.234,FOLLOW,
20.167,0.4578,-0.0422,-13.22,0.233,FOLLOW,
20.200,0.4649,-0.0351,-3.39,0.236,FOLLOW,
20.233,0.4574,-0.0426,-18.70,0.233,FOLLOW,
20.267,0.4596,-0.0404,-9.30,0.234,FOLLOW,
20.300,0.4597,-0.0403,-11.22,0.234,FOLLOW,
20.333,0.4556,-0.0444,-16.09,0.232,FOLLOW,
20.367,0.4393,-0.0607,-31.74,0.226,FOLLOW,
20.400,0.4487,-0.0513,-5.87,0.229,FOLLOW,
20.433,0.4514,-0.0486,-11.20,0.231,FOLLOW,
20.467,0.4396,-0.0604,-27.54,0.226,FOLLOW,
20.500,0.4458,-0.0542,-9.61,0.228,FOLLOW,
20.533,0.4383,-0.0617,-23.97,0.225,FOLLOW,
20.567,0.4460,-0.0540,-8.18,0.228,FOLLOW,
20.600,0.4419,-0.0581,-20.03,0.227,FOLLOW,
20.633,0.4425,-0.0575,-15.50,0.227,FOLLOW,
20.667,0.4483,-0.0517,-9.23,0.229,FOLLOW,
20.700,0.4439,-0.0561,-19.67,0.228,FOLLOW,
20.733,0.4400,-0.0600,-20.32,0.226,FOLLOW,
20.767,0.4433,-0.0567,-12.87,0.227,FOLLOW,
20.800,0.4442,-0.0558,-14.88,0.228,FOLLOW,
20.833,0.4462,-0.0538,-13.28,0.228,FOLLOW,
20.867,0.4395,-0.0605,-22.96,0.226,FOLLOW,
20.900,0.4387,-0.0613,-17.89,0.225,FOLLOW,
20.933,0.4427,-0.0573,-12.47,0.227,FOLLOW,
20.967,0.4388,-0.0612,-20.57,0.226,FOLLOW,
21.000,0.4366,-0.0634,-19.74,0.225,FOLLOW,
21.033,0.4450,-0.0550,-7.83,0.228,FOLLOW,
21.067,0.4442,-0.0558,-16.42,0.228,FOLLOW,
21.100,0.4425,-0.0575,-17.63,0.227,FOLLOW,
21.133,0.4282,-0.0718,-32.92,0.221,FOLLOW,
21.167,0.4330,-0.0670,-14.48,0.223,FOLLOW,
21.200,0.4224,-0.0776,-31.24,0.219,FOLLOW,
21.233,0.4223,-0.0777,-21.90,0.219,FOLLOW,
21.267,0.4269,-0.0731,-16.33,0.221,FOLLOW,
21.300,0.4196,-0.0804,-29.06,0.218,FOLLOW,
21.333,0.4241,-0.0759,-17.17,0.220,FOLLOW,
21.367,0.4261,-0.0739,-18.92,0.220,FOLLOW,
21.400,0.4260,-0.0740,-20.78,0.220,FOLLOW,
21.433,0.4223,-0.0777,-25.15,0.219,FOLLOW,
21.467,0.4250,-0.0750,-18.48,0.220,FOLLOW,
21.500,0.4293,-0.0707,-15.92,0.222,FOLLOW,
21.533,0.4199,-0.0801,-30.88,0.218,FOLLOW,
21.567,0.4179,-0.0821,-24.81,0.217,FOLLOW,
21.600,0.4151,-0.0849,-26.31,0.216,FOLLOW,
21.633,0.4214,-0.0786,-16.29,0.219,FOLLOW,
21.667,0.4121,-0.0879,-32.98,0.215,FOLLOW,
21.700,0.4071,-0.0929,-30.51,0.213,FOLLOW,
21.733,0.4069,-0.0931,-26.23,0.213,FOLLOW,
21.767,0.3991,-0.1009,-35.33,0.210,FOLLOW,
21.800,0.4016,-0.0984,-25.29,0.211,FOLLOW,
21.833,0.4045,-0.0955,-24.09,0.212,FOLLOW,
21.867,0.4159,-0.0841,-13.33,0.216,FOLLOW,
21.900,0.4070,-0.0930,-34.07,0.213,FOLLOW,
21.933,0.4064,-0.0936,-26.69,0.213,FOLLOW,
21.967,0.4096,-0.0904,-22.42,0.214,FOLLOW,
22.000,0.3976,-0.1024,-39.55,0.209,ALIGN,22
22.033,0.4011,-0.0989,-24.48,0.210,ALIGN,22
22.067,0.4062,-0.0938,-21.64,0.212,ALIGN,22
22.100,0.4016,-0.0984,-31.79,0.211,ALIGN,22
22.133,0.3987,-0.1013,-30.95,0.209,ALIGN,22
22.167,0.4020,-0.0980,-24.44,0.211,ALIGN,22
22.200,0.4018,-0.0982,-27.71,0.211,ALIGN,22
22.233,0.4007,-0.0993,-28.80,0.210,ALIGN,22
22.267,0.3919,-0.1081,-38.12,0.207,ALIGN,22
22.300,0.4010,-0.0990,-19.58,0.210,ALIGN,22
22.333,0.4031,-0.0969,-25.24,0.211,ALIGN,22
22.367,0.3940,-0.1060,-37.81,0.208,ALIGN,22
22.400,0.3889,-0.1111,-35.75,0.206,ALIGN,22
22.433,0.3955,-0.1045,-23.35,0.208,ALIGN,22
22.467,0.3933,-0.1067,-31.79,0.207,ALIGN,22
22.500,0.3943,-0.1057,-28.72,0.208,ALIGN,22
22.533,0.3875,-0.1125,-37.65,0.205,ALIGN,22
22.567,0.3906,-0.1094,-27.77,0.206,ALIGN,22
22.600,0.3844,-0.1156,-37.95,0.204,ALIGN,22
22.633,0.3851,-0.1149,-31.60,0.204,ALIGN,22
22.667,0.3840,-0.1160,-33.48,0.204,ALIGN,22
22.700,0.3880,-0.1120,-27.74,0.205,ALIGN,22
22.733,0.3899,-0.1101,-29.17,0.206,ALIGN,22
22.767,0.3857,-0.1143,-35.69,0.204,ALIGN,22
22.800,0.3883,-0.1117,-28.98,0.205,ALIGN,22
22.833,0.3906,-0.1094,-28.54,0.206,ALIGN,22
22.867,0.3919,-0.1081,-29.15,0.207,ALIGN,22
22.900,0.3919,-0.1081,-30.26,0.207,ALIGN,22
22.933,0.3919,-0.1081,-30.30,0.207,ALIGN,22
22.967,0.3956,-0.1044,-25.85,0.208,ALIGN,22
23.000,0.3927,-0.1073,-32.65,0.207,ALIGN,22
23.033,0.3885,-0.1115,-35.07,0.205,ALIGN,22
23.067,0.3998,-0.1002,-17.79,0.210,ALIGN,22
23.100,0.3905,-0.1095,-39.06,0.206,ALIGN,22
23.133,0.3878,-0.1122,-33.88,0.205,ALIGN,22
23.167,0.3997,-0.1003,-17.32,0.210,ALIGN,22
23.200,0.3908,-0.1092,-38.64,0.206,ALIGN,22
23.233,0.4038,-0.0962,-15.26,0.212,ALIGN,22
23.267,0.3977,-0.1023,-34.05,0.209,ALIGN,22
23.300,0.3978,-0.1022,-28.61,0.209,FOLLOW,
23.333,0.3940,-0.1060,-33.05,0.208,FOLLOW,
23.367,0.3958,-0.1042,-27.56,0.208,FOLLOW,
23.400,0.3980,-0.1020,-26.58,0.209,FOLLOW,
23.433,0.4034,-0.0966,-22.24,0.211,FOLLOW,
23.467,0.3912,-0.1088,-41.36,0.206,FOLLOW,
23.500,0.4011,-0.0989,-18.86,0.210,FOLLOW,
23.533,0.3980,-0.1020,-31.31,0.209,FOLLOW,
23.567,0.4051,-0.0949,-20.16,0.212,FOLLOW,
23.600,0.4147,-0.0853,-15.30,0.216,FOLLOW,
23.633,0.4019,-0.0981,-38.91,0.211,FOLLOW,
23.667,0.4065,-0.0935,-22.07,0.213,FOLLOW,
23.700,0.4023,-0.0977,-31.14,0.211,FOLLOW,
23.733,0.4021,-0.0979,-27.54,0.211,FOLLOW,
23.767,0.4045,-0.0955,-24.61,0.212,FOLLOW,
23.800,0.4091,-0.0909,-21.32,0.214,FOLLOW,
23.833,0.4055,-0.0945,-29.75,0.212,FOLLOW,
23.867,0.4039,-0.0961,-28.34,0.212,FOLLOW,
23.900,0.4048,-0.0952,-25.81,0.212,FOLLOW,
23.933,0.4173,-0.0827,-11.93,0.217,FOLLOW,
23.967,0.4133,-0.0867,-27.91,0.215,FOLLOW,
24.000,0.4147,-0.0853,-22.57,0.216,FOLLOW,
24.033,0.4144,-0.0856,-24.26,0.216,FOLLOW,
24.067,0.4077,-0.0923,-31.88,0.213,FOLLOW,
24.100,0.4095,-0.0905,-23.75,0.214,FOLLOW,
24.133,0.4133,-0.0867,-20.77,0.215,FOLLOW,
24.167,0.4182,-0.0818,-18.57,0.217,FOLLOW,
24.200,0.4191,-0.0809,-21.87,0.218,FOLLOW,
24.233,0.4211,-0.0789,-20.20,0.218,FOLLOW,
24.267,0.4214,-0.0786,-21.83,0.219,FOLLOW,
24.300,0.4215,-0.0785,-21.85,0.219,FOLLOW,
24.333,0.4317,-0.0683,-9.95,0.223,FOLLOW,
24.367,0.4204,-0.0796,-32.49,0.218,FOLLOW,
24.400,0.4237,-0.0763,-18.36,0.219,FOLLOW,
24.433,0.4238,-0.0762,-21.31,0.220,FOLLOW,
24.467,0.4284,-0.0716,-15.91,0.221,FOLLOW,
24.500,0.4211,-0.0789,-28.64,0.218,FOLLOW,
24.533,0.4252,-0.0748,-17.20,0.220,FOLLOW,
24.567,0.4243,-0.0757,-22.07,0.220,FOLLOW,
24.600,0.4261,-0.0739,-19.06,0.220,FOLLOW,
24.633,0.4362,-0.0638,-8.79,0.224,FOLLOW,
24.667,0.4293,-0.0707,-26.01,0.222,FOLLOW,
24.700,0.4260,-0.0740,-23.65,0.220,FOLLOW,
24.733,0.4255,-0.0745,-21.37,0.220,FOLLOW,
24.767,0.4360,-0.0640,-8.43,0.224,FOLLOW,
24.800,0.4281,-0.0719,-27.21,0.221,FOLLOW,
24.833,0.4300,-0.0700,-17.87,0.222,FOLLOW,
24.867,0.4390,-0.0610,-9.04,0.226,FOLLOW,
24.900,0.4361,-0.0639,-20.45,0.224,FOLLOW,
24.933,0.4450,-0.0550,-7.39,0.228,FOLLOW,
24.967,0.4369,-0.0631,-24.99,0.225,FOLLOW,
25.000,0.4426,-0.0574,-10.94,0.227,FOLLOW,
25.033,0.4436,-0.0564,-14.89,0.227,FOLLOW,
25.067,0.4418,-0.0582,-17.86,0.227,FOLLOW,
25.100,0.4339,-0.0661,-25.70,0.224,FOLLOW,
25.133,0.4385,-0.0615,-13.04,0.225,FOLLOW,
25.167,0.4408,-0.0592,-14.50,0.226,FOLLOW,
25.200,0.4406,-0.0594,-16.80,0.226,FOLLOW,
25.233,0.4375,-0.0625,-20.35,0.225,FOLLOW,
25.267,0.4415,-0.0585,-12.70,0.227,FOLLOW,
25.300,0.4419,-0.0581,-15.95,0.227,FOLLOW,
25.333,0.4433,-0.0567,-14.60,0.227,FOLLOW,
25.367,0.4427,-0.0573,-16.61,0.227,FOLLOW,
25.400,0.4413,-0.0587,-17.70,0.227,FOLLOW,
25.433,0.4499,-0.0501,-6.23,0.230,FOLLOW,
25.467,0.4393,-0.0607,-26.54,0.226,FOLLOW,
25.500,0.4426,-0.0574,-13.08,0.227,FOLLOW,
25.533,0.4423,-0.0577,-16.49,0.227,FOLLOW,
25.567,0.4528,-0.0472,-3.74,0.231,FOLLOW,
25.600,0.4480,-0.0520,-18.87,0.229,FOLLOW,
25.633,0.4576,-0.0424,-3.22,0.233,FOLLOW,
25.667,0.4584,-0.0416,-10.90,0.233,FOLLOW,
25.700,0.4533,-0.0467,-17.74,0.231,FOLLOW,
25.733,0.4533,-0.0467,-13.07,0.231,FOLLOW,
25.767,0.4549,-0.0451,-11.19,0.232,FOLLOW,
25.800,0.4588,-0.0412,-8.01,0.234,FOLLOW,
25.833,0.4479,-0.0521,-24.36,0.229,FOLLOW,
25.867,0.4552,-0.0448,-5.95,0.232,FOLLOW,
25.900,0.4544,-0.0456,-13.51,0.232,FOLLOW,
25.933,0.4490,-0.0510,-19.11,0.230,FOLLOW,
25.967,0.4589,-0.0411,-2.63,0.234,FOLLOW,
26.000,0.4504,-0.0496,-21.56,0.230,FOLLOW,
26.033,0.4543,-0.0457,-9.28,0.232,FOLLOW,
26.067,0.4560,-0.0440,-10.78,0.232,FOLLOW,
26.100,0.4583,-0.0417,-9.58,0.233,FOLLOW,
26.133,0.4606,-0.0394,-8.98,0.234,FOLLOW,
26.167,0.4612,-0.0388,-10.36,0.234,FOLLOW,
26.200,0.4582,-0.0418,-14.35,0.233,FOLLOW,
26.233,0.4580,-0.0420,-11.91,0.233,FOLLOW,
26.267,0.4599,-0.0401,-9.51,0.234,FOLLOW,
26.300,0.4553,-0.0447,-16.72,0.232,FOLLOW,
26.333,0.4528,-0.0472,-15.45,0.231,FOLLOW,
26.367,0.4616,-0.0384,-2.86,0.235,FOLLOW,
26.400,0.4576,-0.0424,-15.41,0.233,FOLLOW,
26.433,0.4532,-0.0468,-17.13,0.231,FOLLOW,
26.467,0.4618,-0.0382,-2.93,0.235,FOLLOW,
26.500,0.4637,-0.0363,-8.49,0.235,FOLLOW,
26.533,0.4637,-0.0363,-10.10,0.235,FOLLOW,
26.567,0.4626,-0.0374,-11.49,0.235,FOLLOW,
26.600,0.4545,-0.0455,-20.08,0.232,FOLLOW,
26.633,0.4583,-0.0417,-8.24,0.233,FOLLOW,
26.667,0.4631,-0.0369,-6.01,0.235,FOLLOW,
26.700,0.4694,-0.0306,-2.85,0.238,FOLLOW,
26.733,0.4652,-0.0348,-13.56,0.236,FOLLOW,
26.767,0.4656,-0.0344,-9.28,0.236,FOLLOW,
26.800,0.4668,-0.0332,-8.18,0.237,FOLLOW,
26.833,0.4720,-0.0280,-3.16,0.239,FOLLOW,
26.867,0.4758,-0.0242,-3.35,0.240,FOLLOW,
26.900,0.4632,-0.0368,-21.70,0.235,FOLLOW,
26.933,0.4701,-0.0299,-2.10,0.238,FOLLOW,
26.967,0.4640,-0.0360,-15.55,0.236,FOLLOW,
27.000,0.4747,-0.0253,2.47,0.240,FOLLOW,
27.033,0.4604,-0.0396,-23.91,0.234,FOLLOW,
27.067,0.4714,-0.0286,1.83,0.239,FOLLOW,
27.100,0.4629,-0.0371,-18.02,0.235,FOLLOW,
27.133,0.4765,-0.0235,5.73,0.241,FOLLOW,
27.167,0.4717,-0.0283,-12.32,0.239,FOLLOW,
27.200,0.4724,-0.0276,-7.07,0.239,FOLLOW,
27.233,0.4743,-0.0257,-5.55,0.240,FOLLOW,
27.267,0.4635,-0.0365,-19.93,0.235,FOLLOW,
27.300,0.4731,-0.0269,1.13,0.239,FOLLOW,
27.333,0.4714,-0.0286,-9.56,0.239,FOLLOW,
27.367,0.4639,-0.0361,-16.87,0.236,FOLLOW,
27.400,0.4617,-0.0383,-12.65,0.235,FOLLOW,
27.433,0.4715,-0.0285,0.82,0.239,FOLLOW,
27.467,0.4610,-0.0390,-20.41,0.234,FOLLOW,
27.500,0.4676,-0.0324,-3.06,0.237,FOLLOW,
27.533,0.4623,-0.0377,-15.32,0.235,FOLLOW,
27.567,0.4702,-0.0298,-1.21,0.238,FOLLOW,
27.600,0.4709,-0.0291,-7.50,0.238,FOLLOW,
27.633,0.4672,-0.0328,-12.57,0.237,FOLLOW,
27.667,0.4695,-0.0305,-6.40,0.238,FOLLOW,
27.700,0.4724,-0.0276,-5.13,0.239,FOLLOW,
27.733,0.4660,-0.0340,-15.28,0.236,FOLLOW,
27.767,0.4702,-0.0298,-4.62,0.238,FOLLOW,
27.800,0.4738,-0.0262,-4.07,0.240,FOLLOW,
27.833,0.4733,-0.0267,-7.92,0.239,FOLLOW,
27.867,0.4704,-0.0296,-10.92,0.238,FOLLOW,
27.900,0.4746,-0.0254,-3.35,0.240,FOLLOW,
27.933,0.4743,-0.0257,-7.41,0.240,FOLLOW,
27.967,0.4708,-0.0292,-11.33,0.238,FOLLOW,
28.000,0.4749,-0.0251,-3.30,0.240,FOLLOW,
28.033,0.4768,-0.0232,-4.87,0.241,FOLLOW,
28.067,0.4724,-0.0276,-11.63,0.239,FOLLOW,
28.100,0.4740,-0.0260,-5.86,0.240,FOLLOW,
28.133,0.4711,-0.0289,-10.67,0.238,FOLLOW,
28.167,0.4745,-0.0255,-4.13,0.240,FOLLOW,
28.200,0.4743,-0.0257,-7.39,0.240,FOLLOW,
28.233,0.4733,-0.0267,-8.36,0.239,FOLLOW,
28.267,0.4648,-0.0352,-17.48,0.236,FOLLOW,
28.300,0.4732,-0.0268,0.05,0.239,FOLLOW,
28.333,0.4708,-0.0292,-10.36,0.238,FOLLOW,
28.367,0.4721,-0.0279,-6.62,0.239,FOLLOW,
28.400,0.4747,-0.0253,-4.77,0.240,FOLLOW,
28.433,0.4641,-0.0359,-19.56,0.236,FOLLOW,
28.467,0.4733,-0.0267,0.83,0.239,FOLLOW,
28.500,0.4659,-0.0341,-16.28,0.236,FOLLOW,
28.533,0.4850,-0.0150,13.04,0.244,FOLLOW,
28.567,0.4635,-0.0365,-29.61,0.235,FOLLOW,
28.600,0.4707,-0.0293,-1.71,0.238,FOLLOW,
28.633,0.4759,-0.0241,-2.09,0.240,FOLLOW,
28.667,0.4702,-0.0298,-13.43,0.238,FOLLOW,
28.700,0.4684,-0.0316,-10.44,0.237,FOLLOW,
28.733,0.4706,-0.0294,-6.34,0.238,FOLLOW,
28.767,0.4703,-0.0297,-8.57,0.238,FOLLOW,
28.800,0.4727,-0.0273,-5.40,0.239,FOLLOW,
28.833,0.4726,-0.0274,-7.84,0.239,FOLLOW,
28.867,0.4632,-0.0368,-18.75,0.235,FOLLOW,
28.900,0.4719,-0.0281,0.01,0.239,FOLLOW,
28.933,0.4734,-0.0266,-6.14,0.239,FOLLOW,
